Salida;Localidad;Latitud;Longitud;Fecha;referencia;Nativos Encontrados;Exoticos Encontrados
1;Arroyo El Conejo en Rancho El Conejo;19.550;-104.460;gen-05;UMMZ;;
1;Rio Amborin;19.670;-104.580;gen-05;UMMZ;;
1;Rio Higuerilla;19.560;-104.780;gen-05;UMMZ;;
1;Rio La Eca en La Eca;19.800;-104.730;gen-05;;;
1;Rio Minatitlan en La Loma;19.480;-104.050;gen-05;UMMZ;;
1;Rio Marabasco;19.310;-104.260;gen-05;;;
1;Rio en El Huizcolote;19.270;-104.290;gen-05;UMMZ;;
2;Laguna Zempoala;19.050;-99.310;febr-05;UMMZ;;
2;Presa Ignacio Ramirez;19.460;-99.780;febr-05;UMMZ;;
2;Rio Coscomate en Jilotepec;19.940;-99.530;febr-05;;;
2;Rio Lerma cerca de Solis;20.060;-100.150;febr-05;UMMZ;;
2;Rio Hidalgo en Ex-Hacienda El Porvenir;19.680;-100.640;febr-05;UMMZ;;
2;Rio Tilostoc en El Salitre;19.400;-100.080;febr-05;UMMZ;;
2;Presa San Juanico;19.930;-99.790;febr-05;UMMZ;;
3;Rio Yautepec en Yautepec;18.890;-99.050;març-05;UMMZ;;
3;Arroyo Los Pajaritos;18.510;-98.780;març-05;UMMZ;;
3;Rio Nexapa en La Galarza;18.670;-98.450;març-05;UMMZ;;
3;Texcoco 1;19.350;-98.950;març-05;UMMZ;;
3;Texcoco 2;19.450;-98.920;març-05;UMMZ;;
3;Texcoco 3;19.590;-98.930;març-05;UMMZ;;
3;Arroyo en Teotihuacan;19.670;-98.850;març-05;UMMZ;;
3;Lago de Zumpango;19.770;-99.120;març-05;UMMZ;;
3;Canales de Xochimilco cerca del embarcadero Caltongo;19.260;-99.090;abr-05;UMMZ;;
3;Lago de Chalco;19.260;-98.970;abr-05;UMMZ;;
4;Lago de Yuriria;20.230;-101.180;abr-05;UMMZ;;
4;Lago de Cuitzeo en La Palma;19.920;-101.140;abr-05;UMMZ;;
4;canales en Zinzimeo;19.870;-100.980;abr-05;UMMZ;;
4;Presa Cointzio;19.600;-101.285;abr-05;UMMZ;;
5;Laguna de La Minzita;19.645;-101.275;juny-05;UMMZ;;
5;Laguna de Zacapu en Zacapu;19.820;-101.790;juny-05;UMMZ;;
5;Lago de Patzcuaro en Puacuaro;19.610;-101.670;juny-05;UMMZ;;
5;Manantial Molino de Chapultepec;19.570;-101.520;juny-05;UMMZ;;
5;Lago de Zirahuen en Aguaverde;19.420;-101.750;juny-05;UMMZ;;
5;Presa de Santa Catarina;19.420;-102.020;juny-05;UMMZ;;
6;manantial cerca de Illescas;23.230;-102.140;jul-05;UMMZ;;
6;Laguna El Barril en El Barril;23.080;-102.160;jul-05;;;
6;Rio Tunal;24.030;-104.560;jul-05;UMMZ;;
6;manantial en Cerro Gordo;24.320;-104.720;jul-05;UMMZ;;
6;Manantial en Los Berros;23.940;-104.270;jul-05;UMMZ;;
6;Rio El Mimbre;24.620;-104.830;jul-05;UMMZ;;
6;manantial en 27 de Noviembre;24.220;-104.510;jul-05;UMMZ;;
6;manantial en El Toboso;24.280;-104.580;jul-05;UMMZ;;
7;Laguna de Magdalena;20.900;-104.000;set-05;UMMZ;;
7;represa en Hda. San Sebastian;20.820;-104.120;set-05;UMMZ;;
7;Rio de La Pola;20.530;-104.340;set-05;UMMZ;;
7;Arroyo Grande en el Rancho Los Murillos;20.580;-104.150;set-05;UMMZ;;
7;Rio Ameca en La Vega;20.580;-103.860;set-05;UMMZ;;
7;manantial/balneario en Teuchitlan;20.680;-103.850;set-05;UMMZ;;
8;Manantial El Sacristan;21.520;-104.900;oct-05;UMMZ;;
8;balneario Los Rosales;21.430;-104.830;oct-05;UMMZ;;
8;rio en Colonia 6 de Enero;21.530;-104.800;oct-05;UMMZ;;
8;Lago de Santa Maria;21.360;-104.560;oct-05;UMMZ;;
8;Rio Barranquitas;21.030;104.180;oct-05;UMMZ;;
8;Laguna La Colorada;20.770;-103.990;oct-05;UMMZ;;
9;presa sobre el rio Carrizal;21.800;-100.800;oct-05;UMMZ;;
9;Rio Santa Ma. en Santa Ma. Del Rio;21.800;-100.740;nov-05;UMMZ;;
9;arroyo en Agua de Enmedio;22.840;-101.195;nov-05;UMMZ;;
9;Manantiales de La Media Luna;21.860;-100.030;nov-05;UMMZ;;
9;manantial en Puerta Del Rio;22.240;-100.260;nov-05;UMMZ;;
10;tributario del Rio San Pedro;20.250;-104.000;nov-05;UMMZ;;
10;Rio Ayuquila en Corcovado;19.850;-104.280;nov-05;UMMZ;;
10;Rio La Yerbabuena;19.700;-104.210;nov-05;UMMZ;;
10;Rio de Comala en Comala;19.320;-103.755;nov-05;UMMZ;;
10;Rio Ayutla;20.100;-104.310;nov-05;UMMZ;;
11;Rio Lerma en Puerto Del Valle;20.490;-101.130;nov-05;UMMZ;;
11;Rio Turbio cerca de El Nopal;20.370;-101.640;nov-05;UMMZ;;
11;tributario del rio Lerma en Tanhuato;20.280;-102.330;nov-05;UMMZ;;
11;Rio Grande de Sgo. en Poncitlan;20.380;-102.930;nov-05;UMMZ;;
11;Rio Grande de Sgo. en Ocotlan;20.340;-102.770;nov-05;UMMZ;;
11;Lago de Chapala en Mezcala;20.340;-103.020;nov-05;UMMZ;;
11;canal en Acatlan;20.420;-103.590;nov-05;UMMZ;;
12;Rio Cuarenta en Paso de Cuarenta;21.500;-101.760;des-05;UMMZ;;
12;Rio San Pedro en Belen del Refugio;21.540;-102.430;des-05;UMMZ;;
12;Presa El Gigante;22.030;-102.120;des-05;UMMZ;;
12;presa en Los Vergeles;21.770;-101.940;des-05;UMMZ;;
12;Rio Turbio cerca de Manuel Doblado;20.760;-101.920;des-05;UMMZ;;
12;Rio Turbio al E de Cueramaro;20.610;-101.580;des-05;UMMZ;;
12;Rio Turbio en San Juan de La Puerta;20.720;-101.700;des-05;UMMZ;;
12;Rio de La Laja en Atotonilco;21.000;-100.790;des-05;UMMZ;;
13;manantial en Tocumbo;19.700;-102.510;des-05;UMMZ;;
13;Laguna de San Marcos;20.320;-103.570;des-05;UMMZ;;
13;Laguna de Atotonilco;20.350;-103.660;des-05;UMMZ;;
13;Rio Salado;19.190;-103.690;des-05;UMMZ;;
13;tributario del Rio Tuxpan;19.320;-103.390;des-05;UMMZ;;
13;tributario del Rio Tamazula;19.780;-103.115;des-05;UMMZ;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
