"";"Site";"Subset";"Comment"
"1";"arroyo El Conejo";"53";NA
"2";"arroyo en Acatlan";"53";NA
"3";"arroyo en Agua de Enmedio";"53";NA
"4";"arroyo La Yerbabuena";"53";NA
"5";"arroyo Los Pajaritos";"53";NA
"6";"balneario Los Rosales";"53";NA
"7";"canales de Xochimilco";"53";NA
"8";"canales en El Porvenir";"83";"Assemblage data for the two periods is not comparable"
"9";"canales en Zinzimeo";"53";NA
"10";"lago de Chalco";"53";NA
"11";"lago de Chapala en Mezcala";"83";"Assemblage data for the two periods is not comparable"
"12";"lago de Cuitzeo";"83";"Assemblage data for the two periods is not comparable"
"13";"lago de Patzcuaro";"83";"Assemblage data for the two periods is not comparable"
"14";"lago de Yuriria";"53";NA
"15";"lago de Zacapu";"53";NA
"16";"lago de Zirahuen";"83";"Assemblage data for the two periods is not comparable"
"17";"lago de Zumpango";"53";NA
"18";"laguna de La Media Luna";"83";"Assemblage data for the two periods is not comparable"
"19";"laguna de La Minzita";"53";NA
"20";"laguna de Magdalena";"53";NA
"21";"laguna de San Marcos";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"22";"laguna de Sta Maria";"53";NA
"23";"laguna El Barril";"83";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"24";"laguna La Colorada";"53";NA
"25";"Laguna Zempoala";"53";NA
"26";"Los Vergeles";"67";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"27";"manantial cerca de Illescas";"83";"Assemblage data for the two periods is not comparable"
"28";"manantial El Sacristan";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"29";"manantial en 27 de Nov.";"53";NA
"30";"manantial en Cerro Gordo";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"31";"manantial en El Toboso";"53";NA
"32";"manantial en Los Berros";"53";NA
"33";"manantial en Puerta del Rio";"53";NA
"34";"manantial Molino de Chapultepec";"53";NA
"35";"manantial/balneario El Rincon";"83";"Assemblage data for the two periods is not comparable"
"36";"manantial/balneario en Tocumbo";"53";NA
"37";"P. Cointzio";"83";"Assemblage data for the two periods is not comparable"
"38";"P. de Sta Catarina";"53";NA
"39";"P. Ignacio Ramirez";"53";NA
"40";"P. San Juanico";"83";"Assemblage data for the two periods is not comparable"
"41";"presa El Gigante";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"42";"presa sobre el rio Carrizal";"83";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"43";"represa en Hda. San Sebastian";"53";NA
"44";"rio 'San Pedro' en Belen del Refugio";"53";NA
"45";"rio Amborin";"53";NA
"46";"rio Ameca en La Vega";"53";NA
"47";"rio Ameca en Los Murillos";"53";NA
"48";"rio Ayuquila";"53";NA
"49";"rio Ayutla";"53";NA
"50";"rio Barranquitas";"53";NA
"51";"rio Coscomate";"83";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"52";"rio Cuarenta";"67";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"53";"rio de Comala";"53";NA
"54";"rio de La Laja en Atotonilco";"53";NA
"55";"rio de La Pola";"53";NA
"56";"rio El Huizcolote";"53";NA
"57";"rio El Mimbre";"53";NA
"58";"rio en 6 de Enero";"83";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"59";"rio Gde. de Santiago en Ocotlan";"53";NA
"60";"rio Gde. de Santiago en Poncitlan";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"61";"rio Higuerilla";"53";NA
"62";"rio La Eca";"53";NA
"63";"rio Lerma cerca de Solis";"53";NA
"64";"rio Lerma en Puerto del Valle";"53";NA
"65";"rio Marabasco";"83";"NOT IN SM PAPER 2018. Assemblage data for the two periods is not comparable"
"66";"rio Minatitlan en La Loma";"53";NA
"67";"rio Nexapa";"83";"Assemblage data for the two periods is not comparable"
"68";"rio Salado";"53";NA
"69";"rio Sta Maria";"53";NA
"70";"rio Tilostoc";"53";NA
"71";"rio Tunal";"53";NA
"72";"rio Turbio cerca de Cueramaro";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"73";"rio Turbio cerca de El Nopal";"53";NA
"74";"rio Turbio cerca de Manuel Doblado";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"75";"rio Turbio en San Juan de la Puerta";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"76";"rio Yautepec";"53";NA
"77";"Teotihuacan";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"78";"Texcoco 1";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"79";"Texcoco 2";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"80";"trib. Ayuquila River N of Cofradia de Duendes";"53";NA
"81";"trib. del rio Lerma en Tanhuato";"67";"The historical assemblage could be reconstructed. The contemporary locality didn't sustain life anymore"
"82";"trib. rio Tamazula";"53";NA
"83";"trib. rio Tuxpan";"53";NA
