"Genus.species","MaxLP_Miller2009"
"Dajaus monticola",NA
"Algansea aphanea",NA
"Algansea monticola",NA
"Algansea tincella",NA
"Allodontichthys hubbsi",NA
"Allodontichthys polylepis",NA
"Allodontichthys zonistius",NA
"Alloophorus robustus",NA
"Allotoca catarinae",NA
"Allotoca diazi",NA
"Allotoca dugesii",NA
"Allotoca goslinei",NA
"Allotoca maculata",NA
"Amatitlania nigrofasciata",NA
"Astatotilapia burtoni",NA
"Astyanax aeneus",NA
"Astyanax mexicanus",NA
"Ataeniobius toweri",NA
"Chapalichthys encaustus",NA
"Chapalichthys pardalis",NA
"Characodon lateralis",NA
"Chirostoma aculeatum",NA
"Chirostoma arge",NA
"Chirostoma chapalae",NA
"Chirostoma riojai",NA
"Amphilophus istlanus",NA
"Cyprinodon meeki",NA
"Cyprinus carpio",NA
"Gambusia senilis",NA
"Gambusia yucatana",NA
"Girardinichthys multiradiatus",NA
"Girardinichthys viviparus",NA
"Gobiesox fluviatilis",NA
"Goodea atripinnis",NA
"Herichthys cyanoguttatus",NA
"Hubbsina turneri",NA
"Ictalurus dugesii",NA
"Ilyodon furcidens",NA
"Ilyodon whitei",NA
"Lepomis macrochirus",NA
"Mayaheros beani",NA
"Micropterus salmoides",NA
"Herichthys bartoni",NA
"Herichthys labridens",NA
"Notropis amecae",NA
"Notropis calientis",NA
"Oreochromis aureus",NA
"Oreochromis mossambicus",NA
"Oreochromis niloticus",NA
"Poecilia butleri",NA
"Poecilia mexicana",NA
"Poecilia reticulata",NA
"Poecilia sphenops",NA
"Poeciliopsis balsas",NA
"Poeciliopsis gracilis",NA
"Poeciliopsis infans",NA
"Poeciliopsis turrubarensis",NA
"Poeciliopsis viriosa",NA
"Pomoxis nigromaculatus",NA
"Pseudoxiphophorus bimaculatus",NA
"Skiffia bilineata",NA
"Tampichthys dichroma",NA
"Tampichthys mandibularis",NA
"Xenoophorus captivus",NA
"Xenotoca eiseni",NA
"Xenotoca melanosoma",NA
"Xenotoca variata",NA
"Xiphophorus hellerii",NA
"Xiphophorus maculatus",NA
"Yuriria alta",NA
"Zoogoneticus quitzeoensis",NA
"Algansea popoche",NA
"Allodontichthys tamazulae",NA
"Allotoca zacapuensis",NA
"Atherinella balsana",NA
"Aztecula sallaei",NA
"Characodon audax",NA
"Chirostoma charari",NA
"Chirostoma consocium",NA
"Chirostoma humboldtianum",NA
"Chirostoma jordani",NA
"Chirostoma labarcae",NA
"Chirostoma mezquital",NA
"Pseudoxiphophorus jonesii",NA
"Notropis boucardi",NA
"Ictalurus mexicanus",NA
"Poecilia chica",NA
"Poeciliopsis baenschi",NA
"Poeciliopsis turneri",NA
"Moxostoma austrinum",NA
"Sicydium multipunctatum",NA
"Skiffia lermae",NA
"Xenotaenia resolanae",NA
"Xiphophorus variatus",NA
"Yuriria chapalae",NA
"Astyanax sp",NA
"Gila sp",NA
"Pseudoxiphophorus sp",NA
"Chirostoma sp",NA
"Oreochromis sp",NA
"Poecilia sp",NA
"Poeciliopsis sp",NA
