Genus.species,MaxLP_Miller2009
Algansea aphanea,8.6
Algansea monticola,7.6
Algansea popoche,25
Algansea tincella,17.5
Allodontichthys hubbsi,6.1
Allodontichthys polylepis,5
Allodontichthys tamazulae,7.3
Allodontichthys zonistius,6.3
Alloophorus robustus,14.3
Allotoca catarinae,7
Allotoca diazi,8.3
Allotoca dugesii,6.3
Allotoca goslinei,5
Allotoca maculata,4.8
Allotoca zacapuensis,5
Amatitlania nigrofasciata,NA
Amphilophus istlanus,16.9
Astatotilapia burtoni,NA
Astyanax aeneus,14
Astyanax mexicanus,10
Astyanax sp,10
Ataeniobius toweri,7.6
Atherinella balsana,6.5
Aztecula sallaei,8.8
Chapalichthys encaustus,9.3
Chapalichthys pardalis,8.5
Characodon audax,4.8
Characodon lateralis,6.3
Chirostoma aculeatum,10.9
Chirostoma arge,6.9
Chirostoma chapalae,9.3
Chirostoma charari,6.5
Chirostoma consocium,21.8
Chirostoma humboldtianum,25
Chirostoma jordani,9.1
Chirostoma labarcae,12.1
Chirostoma mezquital,6.5
Chirostoma riojai,8.3
Chirostoma sp,8.3
Cyprinodon meeki,4.9
Cyprinus carpio,NA
Dajaus monticola,36.5
Gambusia senilis,4.6
Gambusia yucatana,5.5
Gila sp,28.9
Girardinichthys multiradiatus,5.5
Girardinichthys viviparus,6.5
Gobiesox fluviatilis,10.9
Goodea atripinnis,20
Herichthys bartoni,18.2
Herichthys cyanoguttatus,21.7
Herichthys labridens,12.2
Hubbsina turneri,5.8
Ictalurus dugesii,100
Ictalurus mexicanus,23.8
Ilyodon furcidens,10.3
Ilyodon whitei,10.1
Lepomis macrochirus,28
Mayaheros beani,21.2
Micropterus salmoides,65
Moxostoma austrinum,NA
Notropis amecae,4.1
Notropis boucardi,6.6
Notropis calientis,6
Oreochromis aureus,NA
Oreochromis mossambicus,NA
Oreochromis niloticus,NA
Oreochromis sp,NA
Poecilia butleri,9.3
Poecilia chica,4.6
Poecilia mexicana,9.5
Poecilia reticulata,NA
Poecilia sp,8.4
Poecilia sphenops,8.4
Poeciliopsis baenschi,4.4
Poeciliopsis balsas,4.3
Poeciliopsis gracilis,7.3
Poeciliopsis infans,6.8
Poeciliopsis sp,7.3
Poeciliopsis turneri,5
Poeciliopsis turrubarensis,7.4
Poeciliopsis viriosa,4.6
Pomoxis nigromaculatus,NA
Pseudoxiphophorus bimaculatus,8
Pseudoxiphophorus jonesii,7.7
Pseudoxiphophorus sp,8
Sicydium multipunctatum,13
Skiffia bilineata,4.2
Skiffia lermae,6.4
Tampichthys dichroma,6.5
Tampichthys mandibularis,5.8
Xenoophorus captivus,6.6
Xenotaenia resolanae,7.6
Xenotoca eiseni,7.5
Xenotoca melanosoma,8.5
Xenotoca variata,9
Xiphophorus hellerii,7.8
Xiphophorus maculatus,4.5
Xiphophorus variatus,5.1
Yuriria alta,20
Yuriria chapalae,18.2
Zoogoneticus quitzeoensis,5.7
